Player,Season,Competition_country,Competition,Matchday,Date,Venue,Club,Opponent,Result,Playing_Position,Minute,Type1,Type,Goal_assist
Lionel Messi,13/14,Spain,UEFA Champions League,Group Stage,12-03-2014,H,FC Barcelona,Manchester City,WON,CF,67,1,Left-footed shot,
Cristiano Ronaldo,13/14,Spain,LaLiga,Group Stage,15-03-2014,A,Real Madrid,Malaga CF,LOST,LW,23,1,Right-footed shot,Gareth Bale
Lionel Messi,13/14,Spain,LaLiga,Group Stage,16-03-2014,H,FC Barcelona,CA Osasuna,WON,CF,18,1,Left-footed shot,Alexis Sanchez
Lionel Messi,13/14,Spain,LaLiga,Group Stage,16-03-2014,H,FC Barcelona,CA Osasuna,WON,CF,63,1,Left-footed shot,Andres Iniesta
Lionel Messi,13/14,Spain,LaLiga,Group Stage,16-03-2014,H,FC Barcelona,CA Osasuna,WON,CF,88,1,Right-footed shot,Dani Alves
Cristiano Ronaldo,13/14,Spain,UEFA Champions League,Group Stage,18-03-2014,H,Real Madrid,FC Schalke 04,WON,LW,74,1,Right-footed shot,
Cristiano Ronaldo,13/14,Spain,UEFA Champions League,Group Stage,18-03-2014,H,Real Madrid,FC Schalke 04,WON,LW,22,1,Right-footed shot,Gareth Bale
Cristiano Ronaldo,13/14,Spain,LaLiga,Group Stage,23-03-2014,H,Real Madrid,FC Barcelona,LOST,LW,55,1,Penalty,
Lionel Messi,13/14,Spain,LaLiga,Group Stage,23-03-2014,A,FC Barcelona,Real Madrid,LOST,CF,42,1,Left-footed shot,Neymar
Lionel Messi,13/14,Spain,LaLiga,Group Stage,23-03-2014,A,FC Barcelona,Real Madrid,LOST,CF,84,1,Penalty,
Lionel Messi,13/14,Spain,LaLiga,Group Stage,23-03-2014,A,FC Barcelona,Real Madrid,LOST,CF,65,1,Penalty,
Lionel Messi,13/14,Spain,LaLiga,Group Stage,26-03-2014,H,FC Barcelona,Celta de Vigo,WON,CF,30,1,Right-footed shot,Andres Iniesta
Cristiano Ronaldo,13/14,Spain,LaLiga,Group Stage,26-03-2014,A,Real Madrid,Sevilla FC,WON,LW,14,1,Direct free kick,
Lionel Messi,13/14,Spain,LaLiga,Group Stage,29-03-2014,A,FC Barcelona,RCD Espanyol Barcelona,LOST,CF,77,1,Penalty,
Cristiano Ronaldo,13/14,Spain,LaLiga,Group Stage,29-03-2014,H,Real Madrid,Rayo Vallecano,WON,LW,15,1,Right-footed shot,Gareth Bale
Cristiano Ronaldo,13/14,Spain,UEFA Champions League,Quarter-Finals,02-04-2014,H,Real Madrid,Borussia Dortmund,WON,LW,57,1,Left-footed shot,Luka Modric
Lionel Messi,13/14,Spain,LaLiga,Group Stage,05-04-2014,H,FC Barcelona,Real Betis Balompie,WON,CF,86,1,Penalty rebound,Antonio A05a
Lionel Messi,13/14,Spain,LaLiga,Group Stage,05-04-2014,H,FC Barcelona,Real Betis Balompie,WON,CF,15,1,Penalty,
Lionel Messi,13/14,Spain,LaLiga,Group Stage,20-04-2014,H,FC Barcelona,Athletic Bilbao,WON,CF,74,1,Direct free kick,
Cristiano Ronaldo,13/14,Spain,LaLiga,Group Stage,26-04-2014,H,Real Madrid,CA Osasuna,WON,LW,6,1,Long distance kick,Angel Di Maria
Cristiano Ronaldo,13/14,Spain,LaLiga,Group Stage,26-04-2014,H,Real Madrid,CA Osasuna,WON,LW,52,1,Long distance kick,Isco
Lionel Messi,13/14,Spain,LaLiga,Group Stage,27-04-2014,A,FC Barcelona,Villarreal CF,LOST,CF,83,1,Right-footed shot,Cesc Fabregas
Cristiano Ronaldo,13/14,Spain,UEFA Champions League,Semi-Finals,29-04-2014,A,Real Madrid,Bayern Munich,LOST,LW,90,1,Direct free kick,
Cristiano Ronaldo,13/14,Spain,UEFA Champions League,Semi-Finals,29-04-2014,A,Real Madrid,Bayern Munich,LOST,LW,34,1,Counter attack goal,Gareth Bale
Lionel Messi,13/14,Spain,LaLiga,Group Stage,03-05-2014,H,FC Barcelona,Getafe CF,LOST,CF,23,1,Left-footed shot,Dani Alves
Cristiano Ronaldo,13/14,Spain,LaLiga,Group Stage,04-05-2014,H,Real Madrid,Valencia CF,LOST,LW,90,1,Right-footed shot,Angel Di Maria
Cristiano Ronaldo,13/14,Spain,UEFA Champions League,Final,24-05-2014,H,Real Madrid,Atletico de Madrid,LOST,LW,120,1,Penalty,
Cristiano Ronaldo,14/15,Spain,UEFA Super Cup,Final,12-08-2014,H,Real Madrid,Sevilla FC,WON,LW,30,1,Right-footed shot,Gareth Bale
Cristiano Ronaldo,14/15,Spain,UEFA Super Cup,Final,12-08-2014,H,Real Madrid,Sevilla FC,WON,LW,49,1,Left-footed shot,Karim Benzema
Lionel Messi,14/15,Spain,LaLiga,Group Stage,24-08-2014,H,FC Barcelona,Elche CF,WON,CF,64,1,Left-footed shot,
Lionel Messi,14/15,Spain,LaLiga,Group Stage,24-08-2014,H,FC Barcelona,Elche CF,WON,CF,42,1,Left-footed shot,Sergio Busquets
Cristiano Ronaldo,14/15,Spain,LaLiga,Group Stage,25-08-2014,H,Real Madrid,CÃ³rdoba CF,WON,LW,90,1,Right-footed shot,Isco
Cristiano Ronaldo,14/15,Spain,LaLiga,Group Stage,13-09-2014,H,Real Madrid,Atletico de Madrid,LOST,LW,25,1,Penalty,
Cristiano Ronaldo,14/15,Spain,UEFA Champions League,Group Stage,16-09-2014,H,Real Madrid,FC Basel 1893,WON,LW,31,1,Right-footed shot,Gareth Bale
Cristiano Ronaldo,14/15,Spain,LaLiga,Group Stage,20-09-2014,A,Real Madrid,Deportivo de La CoruÃ±a,LOST,RW,29,1,Header,alvaro Arbeloa
Cristiano Ronaldo,14/15,Spain,LaLiga,Group Stage,20-09-2014,A,Real Madrid,Deportivo de La CoruÃ±a,LOST,RW,41,1,Left-footed shot,Karim Benzema
Cristiano Ronaldo,14/15,Spain,LaLiga,Group Stage,20-09-2014,A,Real Madrid,Deportivo de La CoruÃ±a,LOST,RW,78,1,Left-footed shot,James Rodriguez
Lionel Messi,14/15,Spain,LaLiga,Group Stage,21-09-2014,A,FC Barcelona,Levante UD,LOST,CF,77,1,Right-footed shot,
Cristiano Ronaldo,14/15,Spain,LaLiga,Group Stage,23-09-2014,H,Real Madrid,Elche CF,WON,CF,28,1,Penalty,
Cristiano Ronaldo,14/15,Spain,LaLiga,Group Stage,23-09-2014,H,Real Madrid,Elche CF,WON,CF,90,1,Right-footed shot,Gareth Bale
Cristiano Ronaldo,14/15,Spain,LaLiga,Group Stage,23-09-2014,H,Real Madrid,Elche CF,WON,CF,80,1,Penalty,
Cristiano Ronaldo,14/15,Spain,LaLiga,Group Stage,23-09-2014,H,Real Madrid,Elche CF,WON,CF,32,1,Header,Marcelo
Cristiano Ronaldo,14/15,Spain,LaLiga,Group Stage,27-09-2014,A,Real Madrid,Villarreal CF,LOST,CF,40,1,Right-footed shot,Karim Benzema
Lionel Messi,14/15,Spain,LaLiga,Group Stage,27-09-2014,H,FC Barcelona,Granada CF,WON,CF,62,1,Header,Dani Alves
Lionel Messi,14/15,Spain,LaLiga,Group Stage,27-09-2014,H,FC Barcelona,Granada CF,WON,CF,82,1,Right-footed shot,
Lionel Messi,14/15,Spain,UEFA Champions League,Group Stage,30-09-2014,A,FC Barcelona,Paris Saint-Germain,WON,RW,12,1,Left-footed shot,Andres Iniesta
Cristiano Ronaldo,14/15,Spain,UEFA Champions League,Group Stage,01-10-2014,A,Real Madrid,Ludogorets Razgrad,LOST,CF,25,1,Penalty,
Lionel Messi,14/15,Spain,LaLiga,Group Stage,04-10-2014,A,FC Barcelona,Rayo Vallecano,LOST,CF,35,1,Left-footed shot,Gerard Pique
Cristiano Ronaldo,14/15,Spain,LaLiga,Group Stage,05-10-2014,H,Real Madrid,Athletic Bilbao,WON,LW,89,1,Deflected shot on goal,Pepe
Cristiano Ronaldo,14/15,Spain,LaLiga,Group Stage,05-10-2014,H,Real Madrid,Athletic Bilbao,WON,LW,3,1,Header,Gareth Bale
Cristiano Ronaldo,14/15,Spain,LaLiga,Group Stage,05-10-2014,H,Real Madrid,Athletic Bilbao,WON,LW,55,1,Right-footed shot,Gareth Bale
Lionel Messi,14/15,Spain,LaLiga,Group Stage,18-10-2014,H,FC Barcelona,SD Eibar,WON,CF,74,1,Left-footed shot,Neymar
Cristiano Ronaldo,14/15,Spain,LaLiga,Group Stage,18-10-2014,A,Real Madrid,Levante UD,LOST,CF,13,1,Penalty,
Cristiano Ronaldo,14/15,Spain,LaLiga,Group Stage,18-10-2014,A,Real Madrid,Levante UD,LOST,CF,61,1,Right-footed shot,Isco
Lionel Messi,14/15,Spain,UEFA Champions League,Group Stage,21-10-2014,H,FC Barcelona,Ajax Amsterdam,WON,CF,24,1,Left-footed shot,Andres Iniesta
Cristiano Ronaldo,14/15,Spain,UEFA Champions League,Group Stage,22-10-2014,A,Real Madrid,Liverpool FC,LOST,CF,23,1,Right-footed shot,James Rodriguez
Cristiano Ronaldo,14/15,Spain,LaLiga,Group Stage,25-10-2014,H,Real Madrid,FC Barcelona,WON,CF,35,1,Penalty,
Cristiano Ronaldo,14/15,Spain,LaLiga,Group Stage,01-11-2014,A,Real Madrid,Granada CF,LOST,CF,2,1,Right-footed shot,Karim Benzema
Lionel Messi,14/15,Spain,UEFA Champions League,Group Stage,05-11-2014,A,FC Barcelona,Ajax Amsterdam,LOST,RW,36,1,Header,Marc Bartra
Lionel Messi,14/15,Spain,UEFA Champions League,Group Stage,05-11-2014,A,FC Barcelona,Ajax Amsterdam,LOST,RW,76,1,Left-footed shot,Pedro
Cristiano Ronaldo,14/15,Spain,LaLiga,Group Stage,08-11-2014,H,Real Madrid,Rayo Vallecano,WON,CF,83,1,Right-footed shot,Isco
Cristiano Ronaldo,14/15,Spain,LaLiga,Group Stage,22-11-2014,A,Real Madrid,SD Eibar,LOST,CF,83,1,Penalty,
Lionel Messi,14/15,Spain,LaLiga,Group Stage,22-11-2014,H,FC Barcelona,Sevilla FC,WON,RW,78,1,Left-footed shot,Neymar
Lionel Messi,14/15,Spain,LaLiga,Group Stage,22-11-2014,H,FC Barcelona,Sevilla FC,WON,RW,73,1,Tap-in,Neymar
Lionel Messi,14/15,Spain,LaLiga,Group Stage,22-11-2014,H,FC Barcelona,Sevilla FC,WON,RW,21,1,Direct free kick,
Cristiano Ronaldo,14/15,Spain,LaLiga,Group Stage,22-11-2014,A,Real Madrid,SD Eibar,LOST,CF,43,1,Right-footed shot,Daniel Carvajal
Lionel Messi,14/15,Spain,UEFA Champions League,Group Stage,25-11-2014,A,FC Barcelona,APOEL Nicosia,LOST,CF ,87,1,Right-footed shot,Pedro
Lionel Messi,14/15,Spain,UEFA Champions League,Group Stage,25-11-2014,A,FC Barcelona,APOEL Nicosia,LOST,CF ,58,1,Right-footed shot,Dani Alves
Lionel Messi,14/15,Spain,UEFA Champions League,Group Stage,25-11-2014,A,FC Barcelona,APOEL Nicosia,LOST,CF ,38,1,Right-footed shot,Rafinha
Cristiano Ronaldo,14/15,Spain,UEFA Champions League,Group Stage,26-11-2014,A,Real Madrid,FC Basel 1893,LOST,LW,35,1,Left-footed shot,Karim Benzema
Cristiano Ronaldo,14/15,Spain,LaLiga,Group Stage,06-12-2014,H,Real Madrid,Celta de Vigo,WON,CF,65,1,Right-footed shot,
Cristiano Ronaldo,14/15,Spain,LaLiga,Group Stage,06-12-2014,H,Real Madrid,Celta de Vigo,WON,CF,81,1,Left-footed shot,Marcelo
Cristiano Ronaldo,14/15,Spain,LaLiga,Group Stage,06-12-2014,H,Real Madrid,Celta de Vigo,WON,CF,36,1,Penalty,
Lionel Messi,14/15,Spain,LaLiga,Group Stage,07-12-2014,H,FC Barcelona,RCD Espanyol Barcelona,WON,RW,46,1,Left-footed shot,Xavi
Lionel Messi,14/15,Spain,LaLiga,Group Stage,07-12-2014,H,FC Barcelona,RCD Espanyol Barcelona,WON,RW,50,1,Right-footed shot,Luis Suarez
Lionel Messi,14/15,Spain,LaLiga,Group Stage,07-12-2014,H,FC Barcelona,RCD Espanyol Barcelona,WON,RW,81,1,Right-footed shot,Pedro
Cristiano Ronaldo,14/15,Spain,UEFA Champions League,Group Stage,09-12-2014,H,Real Madrid,Ludogorets Razgrad,WON,CF ,20,1,Penalty,
Lionel Messi,14/15,Spain,UEFA Champions League,Group Stage,10-12-2014,H,FC Barcelona,Paris Saint-Germain,WON,AM,19,1,Right-footed shot,Luis Suarez
Cristiano Ronaldo,14/15,Spain,LaLiga,Group Stage,12-12-2014,A,Real Madrid,UD Almeria,LOST,CF,81,1,Right-footed shot,Karim Benzema
Cristiano Ronaldo,14/15,Spain,LaLiga,Group Stage,12-12-2014,A,Real Madrid,UD Almeria,LOST,CF,89,1,Right-footed shot,Daniel Carvajal
Lionel Messi,14/15,Spain,LaLiga,Group Stage,20-12-2014,H,FC Barcelona,CÃ³rdoba CF,WON,RW,82,1,Right-footed shot,
Lionel Messi,14/15,Spain,LaLiga,Group Stage,20-12-2014,H,FC Barcelona,CÃ³rdoba CF,WON,RW,90,1,Right-footed shot,
Cristiano Ronaldo,14/15,Spain,LaLiga,Group Stage,04-01-2015,A,Real Madrid,Valencia CF,WON,LW,14,1,Penalty,
Lionel Messi,14/15,Spain,Copa del Rey,Group Stage,08-01-2015,H,FC Barcelona,Elche CF,WON,RW ,45,1,Penalty,
Lionel Messi,14/15,Spain,LaLiga,Group Stage,11-01-2015,H,FC Barcelona,Atletico de Madrid,WON,RW,87,1,Left-footed shot,
Cristiano Ronaldo,14/15,Spain,Copa del Rey,Group Stage,15-01-2015,H,Real Madrid,Atletico de Madrid,LOST,CF,54,1,Header,Gareth Bale
Cristiano Ronaldo,14/15,Spain,LaLiga,Group Stage,18-01-2015,A,Real Madrid,Getafe CF,LOST,LW,63,1,Left-footed shot,Karim Benzema
Cristiano Ronaldo,14/15,Spain,LaLiga,Group Stage,18-01-2015,A,Real Madrid,Getafe CF,LOST,LW,79,1,Header,James Rodriguez
Lionel Messi,14/15,Spain,LaLiga,Group Stage,18-01-2015,A,FC Barcelona,Deportivo de La Coruaa,LOST,RW,11,1,Header,Ivan Rakitic
Lionel Messi,14/15,Spain,LaLiga,Group Stage,18-01-2015,A,FC Barcelona,Deportivo de La Coruaa,LOST,RW,33,1,Left-footed shot,Luis Suarez
Lionel Messi,14/15,Spain,LaLiga,Group Stage,18-01-2015,A,FC Barcelona,Deportivo de La Coruaa,LOST,RW,62,1,Left-footed shot,Ivan Rakitic
Lionel Messi,14/15,Spain,Copa del Rey,Quarter-Finals,21-01-2015,H,FC Barcelona,Atletico de Madrid,WON,RW ,85,1,Penalty rebound,
Lionel Messi,14/15,Spain,LaLiga,Group Stage,24-01-2015,A,FC Barcelona,Elche CF,LOST,CF,88,1,Left-footed shot,Marc Bartra
Lionel Messi,14/15,Spain,LaLiga,Group Stage,24-01-2015,A,FC Barcelona,Elche CF,LOST,CF,55,1,Penalty,
Lionel Messi,14/15,Spain,LaLiga,Group Stage,01-02-2015,H,FC Barcelona,Villarreal CF,WON,RW,55,1,Right-footed shot,Luis Suarez
Lionel Messi,14/15,Spain,LaLiga,Group Stage,08-02-2015,A,FC Barcelona,Athletic Bilbao,LOST,RW,15,1,Direct free kick,
Lionel Messi,14/15,Spain,Copa del Rey,Semi-Finals,11-02-2015,H,FC Barcelona,Villarreal CF,WON,RW,41,1,Left-footed shot,Luis Suarez
Lionel Messi,14/15,Spain,LaLiga,Group Stage,15-02-2015,H,FC Barcelona,Levante UD,WON,CF,38,1,Right-footed shot,Marc Bartra
Lionel Messi,14/15,Spain,LaLiga,Group Stage,15-02-2015,H,FC Barcelona,Levante UD,WON,CF,59,1,Right-footed shot,Pedro
Lionel Messi,14/15,Spain,LaLiga,Group Stage,15-02-2015,H,FC Barcelona,Levante UD,WON,CF,65,1,Penalty,
Cristiano Ronaldo,14/15,Spain,UEFA Champions League,Group Stage,18-02-2015,A,Real Madrid,FC Schalke 04,LOST,LW,26,1,Header,Daniel Carvajal
Cristiano Ronaldo,14/15,Spain,LaLiga,Group Stage,22-02-2015,A,Real Madrid,Elche CF,LOST,CF,69,1,Header,Isco
Lionel Messi,14/15,Spain,LaLiga,Group Stage,28-02-2015,A,FC Barcelona,Granada CF,LOST,RW,70,1,Right-footed shot,Luis Suarez
Cristiano Ronaldo,14/15,Spain,LaLiga,Group Stage,01-03-2015,H,Real Madrid,Villarreal CF,LOST,CF,52,1,Penalty,
Lionel Messi,14/15,Spain,LaLiga,Group Stage,08-03-2015,H,FC Barcelona,Rayo Vallecano,WON,RW,56,1,Penalty,
Lionel Messi,14/15,Spain,LaLiga,Group Stage,08-03-2015,H,FC Barcelona,Rayo Vallecano,WON,RW,68,1,Left-footed shot,Pedro
Lionel Messi,14/15,Spain,LaLiga,Group Stage,08-03-2015,H,FC Barcelona,Rayo Vallecano,WON,RW,63,1,Tap-in,
Cristiano Ronaldo,14/15,Spain,UEFA Champions League,Group Stage,10-03-2015,H,Real Madrid,FC Schalke 04,LOST,CF,45,1,Header,Fabio CoentrÃ£o
Cristiano Ronaldo,14/15,Spain,UEFA Champions League,Group Stage,10-03-2015,H,Real Madrid,FC Schalke 04,LOST,CF,25,1,Header,Toni Kroos
Lionel Messi,14/15,Spain,LaLiga,Group Stage,14-03-2015,A,FC Barcelona,SD Eibar,LOST,RW ,55,1,Header,Ivan Rakitic
Lionel Messi,14/15,Spain,LaLiga,Group Stage,14-03-2015,A,FC Barcelona,SD Eibar,LOST,RW ,31,1,Penalty,
Cristiano Ronaldo,14/15,Spain,LaLiga,Group Stage,22-03-2015,A,Real Madrid,FC Barcelona,WON,LW,31,1,Right-footed shot,Karim Benzema
Cristiano Ronaldo,14/15,Spain,LaLiga,Group Stage,05-04-2015,H,Real Madrid,Granada CF,WON,CF,38,1,Long distance kick,Gareth Bale
Cristiano Ronaldo,14/15,Spain,LaLiga,Group Stage,05-04-2015,H,Real Madrid,Granada CF,WON,CF,90,1,Header,Luka Modric
Cristiano Ronaldo,14/15,Spain,LaLiga,Group Stage,05-04-2015,H,Real Madrid,Granada CF,WON,CF,30,1,Right-footed shot,James Rodriguez
Cristiano Ronaldo,14/15,Spain,LaLiga,Group Stage,05-04-2015,H,Real Madrid,Granada CF,WON,CF,36,1,Right-footed shot,
Cristiano Ronaldo,14/15,Spain,LaLiga,Group Stage,05-04-2015,H,Real Madrid,Granada CF,WON,CF,54,1,Header,Gareth Bale
Cristiano Ronaldo,14/15,Spain,LaLiga,Group Stage,08-04-2015,A,Real Madrid,Rayo Vallecano,LOST,LW,68,1,Header,Daniel Carvajal
Lionel Messi,14/15,Spain,LaLiga,Group Stage,08-04-2015,H,FC Barcelona,UD Almera,WON,RW,33,1,Left-footed shot,Marc Bartra
Lionel Messi,14/15,Spain,LaLiga,Group Stage,11-04-2015,A,FC Barcelona,Sevilla FC,LOST,RW,15,1,Left-footed shot,Neymar
Cristiano Ronaldo,14/15,Spain,LaLiga,Group Stage,11-04-2015,H,Real Madrid,SD Eibar,WON,LW,21,1,Direct free kick,
Lionel Messi,14/15,Spain,LaLiga,Group Stage,18-04-2015,H,FC Barcelona,Valencia CF,WON,RW,94,1,Left-footed shot,
Cristiano Ronaldo,14/15,Spain,LaLiga,Group Stage,18-04-2015,H,Real Madrid,Malaga CF,WON,CF,92,1,Left-footed shot,Chicharito
Lionel Messi,14/15,Spain,LaLiga,Group Stage,25-04-2015,A,FC Barcelona,RCD Espanyol Barcelona,LOST,RW,25,1,Left-footed shot,Luis Suarez
Lionel Messi,14/15,Spain,LaLiga,Group Stage,28-04-2015,H,FC Barcelona,Getafe CF,WON,RW,47,1,Left-footed shot,Luis Suarez
Lionel Messi,14/15,Spain,LaLiga,Group Stage,28-04-2015,H,FC Barcelona,Getafe CF,WON,RW,9,1,Penalty,
Cristiano Ronaldo,14/15,Spain,LaLiga,Group Stage,02-05-2015,A,Real Madrid,Sevilla FC,LOST,CF,69,1,Header,Gareth Bale
Cristiano Ronaldo,14/15,Spain,LaLiga,Group Stage,02-05-2015,A,Real Madrid,Sevilla FC,LOST,CF,37,1,Right-footed shot,Chicharito
Lionel Messi,14/15,Spain,LaLiga,Group Stage,02-05-2015,A,FC Barcelona,CÃ³rdoba CF,LOST,RW,80,1,Left-footed shot,Luis Suarez
Lionel Messi,14/15,Spain,LaLiga,Group Stage,02-05-2015,A,FC Barcelona,CÃ³rdoba CF,LOST,RW,47,1,Header,Dani Alves
Cristiano Ronaldo,14/15,Spain,LaLiga,Group Stage,02-05-2015,A,Real Madrid,Sevilla FC,LOST,CF,36,1,Header,Isco
Cristiano Ronaldo,14/15,Spain,UEFA Champions League,Semi-Finals,05-05-2015,A,Real Madrid,Juventus FC,WON,CF,27,1,Header,James Rodriguez
Lionel Messi,14/15,Spain,UEFA Champions League,Semi-Finals,06-05-2015,H,FC Barcelona,Bayern Munich,WON,RW,80,1,Right-footed shot,Ivan Rakitic
Lionel Messi,14/15,Spain,UEFA Champions League,Semi-Finals,06-05-2015,H,FC Barcelona,Bayern Munich,WON,RW,77,1,Left-footed shot,Dani Alves
Cristiano Ronaldo,14/15,Spain,UEFA Champions League,Semi-Finals,13-05-2015,H,Real Madrid,Juventus FC,LOST,LW,23,1,Penalty,
Cristiano Ronaldo,14/15,Spain,LaLiga,Group Stage,17-05-2015,A,Real Madrid,RCD Espanyol Barcelona,LOST,LW,59,1,Left-footed shot,Karim Benzema
Cristiano Ronaldo,14/15,Spain,LaLiga,Group Stage,17-05-2015,A,Real Madrid,RCD Espanyol Barcelona,LOST,LW,83,1,Right-footed shot,Chicharito
Cristiano Ronaldo,14/15,Spain,LaLiga,Group Stage,17-05-2015,A,Real Madrid,RCD Espanyol Barcelona,LOST,LW,91,1,Header,James Rodriguez
Lionel Messi,14/15,Spain,LaLiga,Group Stage,17-05-2015,A,FC Barcelona,Atletico de Madrid,LOST,RW,65,1,Left-footed shot,Pedro
Cristiano Ronaldo,14/15,Spain,LaLiga,Group Stage,23-05-2015,H,Real Madrid,Getafe CF,WON,LW,32,1,Direct free kick,
Cristiano Ronaldo,14/15,Spain,LaLiga,Group Stage,23-05-2015,H,Real Madrid,Getafe CF,WON,LW,34,1,Penalty,
Lionel Messi,14/15,Spain,LaLiga,Group Stage,23-05-2015,H,FC Barcelona,Deportivo de La Coruaa,LOST,RW,59,1,Right-footed shot,Neymar
Lionel Messi,14/15,Spain,LaLiga,Group Stage,23-05-2015,H,FC Barcelona,Deportivo de La Coruaa,LOST,RW,5,1,Header,Rafinha
Cristiano Ronaldo,14/15,Spain,LaLiga,Group Stage,23-05-2015,H,Real Madrid,Getafe CF,WON,LW,13,1,Header,Marcelo
Lionel Messi,14/15,Spain,Copa del Rey,Final,30-05-2015,A,FC Barcelona,Athletic Bilbao,LOST,RW,74,1,Left-footed shot,Dani Alves
Lionel Messi,14/15,Spain,Copa del Rey,Final,30-05-2015,A,FC Barcelona,Athletic Bilbao,LOST,RW,20,1,Solo run,
Lionel Messi,15/16,Spain,UEFA Super Cup,Final,11-08-2015,H,FC Barcelona,Sevilla FC,LOST,RW,16,1,Direct free kick,
Lionel Messi,15/16,Spain,UEFA Super Cup,Final,11-08-2015,H,FC Barcelona,Sevilla FC,LOST,RW,7,1,Direct free kick,
Lionel Messi,15/16,Spain,Supercopa,Final,17-08-2015,H,FC Barcelona,Athletic Bilbao,LOST,RW,43,1,Left-footed shot,Luis Suarez
Cristiano Ronaldo,15/16,Spain,LaLiga,Group Stage,12-09-2015,A,Real Madrid,RCD Espanyol Barcelona,LOST,LW,17,1,Penalty,
Cristiano Ronaldo,15/16,Spain,LaLiga,Group Stage,12-09-2015,A,Real Madrid,RCD Espanyol Barcelona,LOST,LW,81,1,Right-footed shot,Lucas Vazquez
Cristiano Ronaldo,15/16,Spain,LaLiga,Group Stage,12-09-2015,A,Real Madrid,RCD Espanyol Barcelona,LOST,LW,62,1,Right-footed shot,Gareth Bale
Cristiano Ronaldo,15/16,Spain,LaLiga,Group Stage,12-09-2015,A,Real Madrid,RCD Espanyol Barcelona,LOST,LW,20,1,Left-footed shot,Gareth Bale
Cristiano Ronaldo,15/16,Spain,LaLiga,Group Stage,12-09-2015,A,Real Madrid,RCD Espanyol Barcelona,LOST,LW,7,1,Right-footed shot,Luka Modric
Lionel Messi,15/16,Spain,LaLiga,Group Stage,12-09-2015,A,FC Barcelona,Atletico de Madrid,LOST,RW,77,1,Left-footed shot,Luis Suarez
Cristiano Ronaldo,15/16,Spain,UEFA Champions League,Group Stage,15-09-2015,H,Real Madrid,Shakhtar Donetsk,WON,LW,64,1,Penalty,
Cristiano Ronaldo,15/16,Spain,UEFA Champions League,Group Stage,15-09-2015,H,Real Madrid,Shakhtar Donetsk,WON,LW,56,1,Penalty,
Cristiano Ronaldo,15/16,Spain,UEFA Champions League,Group Stage,15-09-2015,H,Real Madrid,Shakhtar Donetsk,WON,LW,82,1,Header,
Lionel Messi,15/16,Spain,LaLiga,Group Stage,20-09-2015,H,FC Barcelona,Levante UD,WON,AM ,61,1,Penalty,
Lionel Messi,15/16,Spain,LaLiga,Group Stage,20-09-2015,H,FC Barcelona,Levante UD,WON,AM ,90,1,Left-footed shot,Marc Bartra
Cristiano Ronaldo,15/16,Spain,UEFA Champions League,Group Stage,30-09-2015,A,Real Madrid,MalmÃ¶ FF,LOST,LW ,90,1,Left-footed shot,Lucas Vazquez
Cristiano Ronaldo,15/16,Spain,UEFA Champions League,Group Stage,30-09-2015,A,Real Madrid,MalmÃ¶ FF,LOST,LW ,29,1,Right-footed shot,Isco
Cristiano Ronaldo,15/16,Spain,LaLiga,Group Stage,17-10-2015,H,Real Madrid,Levante UD,WON,CF,30,1,Right-footed shot,Toni Kroos
Cristiano Ronaldo,15/16,Spain,LaLiga,Group Stage,24-10-2015,A,Real Madrid,Celta de Vigo,LOST,CF,8,1,Right-footed shot,Lucas Vazquez
Cristiano Ronaldo,15/16,Spain,LaLiga,Group Stage,31-10-2015,H,Real Madrid,UD Las Palmas,WON,CF,14,1,Header,Marcelo
Lionel Messi,15/16,Spain,UEFA Champions League,Group Stage,24-11-2015,H,FC Barcelona,AS Roma,WON,RW ,60,1,Tap-in,
Lionel Messi,15/16,Spain,UEFA Champions League,Group Stage,24-11-2015,H,FC Barcelona,AS Roma,WON,RW ,18,1,Left-footed shot,Luis Suarez
Cristiano Ronaldo,15/16,Spain,UEFA Champions League,Group Stage,25-11-2015,A,Real Madrid,Shakhtar Donetsk,LOST,CF,70,1,Right-footed shot,Gareth Bale
Cristiano Ronaldo,15/16,Spain,UEFA Champions League,Group Stage,25-11-2015,A,Real Madrid,Shakhtar Donetsk,LOST,CF,18,1,Header,Gareth Bale
Lionel Messi,15/16,Spain,LaLiga,Group Stage,28-11-2015,H,FC Barcelona,Real Sociedad,WON,RW,91,1,Left-footed shot,Neymar
Cristiano Ronaldo,15/16,Spain,LaLiga,Group Stage,29-11-2015,A,Real Madrid,SD Eibar,LOST,CF,82,1,Penalty,
Cristiano Ronaldo,15/16,Spain,LaLiga,Group Stage,05-12-2015,H,Real Madrid,Getafe CF,WON,LW,38,1,Right-footed shot,Toni Kroos
Cristiano Ronaldo,15/16,Spain,UEFA Champions League,Group Stage,08-12-2015,H,Real Madrid,MalmÃ¶ FF,WON,LW,59,1,Right-footed shot,Isco
Cristiano Ronaldo,15/16,Spain,UEFA Champions League,Group Stage,08-12-2015,H,Real Madrid,MalmÃ¶ FF,WON,LW,50,1,Right-footed shot,Danilo
Cristiano Ronaldo,15/16,Spain,UEFA Champions League,Group Stage,08-12-2015,H,Real Madrid,MalmÃ¶ FF,WON,LW,47,1,Tap-in,
Cristiano Ronaldo,15/16,Spain,UEFA Champions League,Group Stage,08-12-2015,H,Real Madrid,MalmÃ¶ FF,WON,LW,39,1,Direct free kick,
