Player,Season,Competition_country,Competition,Matchday,Date,Venue,Club,Opponent,Result,Playing_Position,Minute,Type1,Type,Goal_assist
Lionel Messi,10-Nov,Spain,UEFA Champions League,Group Stage,02-11-2010,A,FC Barcelona,FC Copenhagen,LOST,CF,31,1,Right-footed shot,
Lionel Messi,10-Nov,Spain,LaLiga,Group Stage,07-11-2010,A,FC Barcelona,Getafe CF,LOST,CF,23,1,Left-footed shot,David Villa
Cristiano Ronaldo,10-Nov,Spain,Copa del Rey,Group Stage,10-11-2010,H,Real Madrid,Real Murcia CF,WON,,76,1,Left-footed shot,Angel Di Maria
Lionel Messi,10-Nov,Spain,Copa del Rey,Group Stage,10-11-2010,H,FC Barcelona,Club Atletico de Ceuta,WON,RW,67,1,Left-footed shot,Thiago
Lionel Messi,10-Nov,Spain,LaLiga,Group Stage,13-11-2010,H,FC Barcelona,Villarreal CF,WON,CF,58,1,Right-footed shot,Pedro
Lionel Messi,10-Nov,Spain,LaLiga,Group Stage,13-11-2010,H,FC Barcelona,Villarreal CF,WON,CF,83,1,Left-footed shot,Pedro
Cristiano Ronaldo,10-Nov,Spain,LaLiga,Group Stage,20-11-2010,H,Real Madrid,Athletic Bilbao,WON,LW,30,1,Left-footed shot,Mesut Ozil
Cristiano Ronaldo,10-Nov,Spain,LaLiga,Group Stage,20-11-2010,H,Real Madrid,Athletic Bilbao,WON,LW,62,1,Direct free kick,
Cristiano Ronaldo,10-Nov,Spain,LaLiga,Group Stage,20-11-2010,H,Real Madrid,Athletic Bilbao,WON,LW,91,1,Penalty,
Lionel Messi,10-Nov,Spain,LaLiga,Group Stage,20-11-2010,A,FC Barcelona,UD Almera,LOST,CF,16,1,Left-footed shot,David Villa
Lionel Messi,10-Nov,Spain,LaLiga,Group Stage,20-11-2010,A,FC Barcelona,UD Almera,LOST,CF,67,1,Tap-in,David Villa
Lionel Messi,10-Nov,Spain,LaLiga,Group Stage,20-11-2010,A,FC Barcelona,UD Almera,LOST,CF,36,1,Tap-in,
Cristiano Ronaldo,10-Nov,Spain,UEFA Champions League,Group Stage,23-11-2010,A,Real Madrid,Ajax Amsterdam,LOST,LW,70,1,Left-footed shot,Angel Di Maria
Cristiano Ronaldo,10-Nov,Spain,UEFA Champions League,Group Stage,23-11-2010,A,Real Madrid,Ajax Amsterdam,LOST,LW,81,1,Penalty,
Lionel Messi,10-Nov,Spain,UEFA Champions League,Group Stage,24-11-2010,A,FC Barcelona,Panathinaikos Athens,LOST,CF,63,1,Left-footed shot,Adriano
Lionel Messi,10-Nov,Spain,LaLiga,Group Stage,04-12-2010,A,FC Barcelona,CA Osasuna,LOST,CF,64,1,Left-footed shot,David Villa
Lionel Messi,10-Nov,Spain,LaLiga,Group Stage,04-12-2010,A,FC Barcelona,CA Osasuna,LOST,CF,82,1,Penalty,
Cristiano Ronaldo,10-Nov,Spain,LaLiga,Group Stage,04-12-2010,H,Real Madrid,Valencia CF,WON,LW,72,1,Left-footed shot,Mesut Ozil
Cristiano Ronaldo,10-Nov,Spain,LaLiga,Group Stage,04-12-2010,H,Real Madrid,Valencia CF,WON,LW,86,1,Right-footed shot,
Cristiano Ronaldo,10-Nov,Spain,UEFA Champions League,Group Stage,08-12-2010,H,Real Madrid,AJ Auxerre,WON,LW,49,1,Right-footed shot,Marcelo
Lionel Messi,10-Nov,Spain,LaLiga,Group Stage,12-12-2010,H,FC Barcelona,Real Sociedad,WON,CF,46,1,Left-footed shot,Dani Alves
Lionel Messi,10-Nov,Spain,LaLiga,Group Stage,12-12-2010,H,FC Barcelona,Real Sociedad,WON,CF,86,1,Left-footed shot,Bojan Krkic
Cristiano Ronaldo,10-Nov,Spain,LaLiga,Group Stage,12-12-2010,A,Real Madrid,Real Zaragoza,LOST,LW,43,1,Direct free kick,
Cristiano Ronaldo,10-Nov,Spain,Copa del Rey,Group Stage,22-12-2010,H,Real Madrid,Levante UD,WON,LW,73,1,Right-footed shot,Karim Benzema
Cristiano Ronaldo,10-Nov,Spain,Copa del Rey,Group Stage,22-12-2010,H,Real Madrid,Levante UD,WON,LW,71,1,Right-footed shot,Angel Di Maria
Cristiano Ronaldo,10-Nov,Spain,Copa del Rey,Group Stage,22-12-2010,H,Real Madrid,Levante UD,WON,LW,44,1,Right-footed shot,Karim Benzema
Cristiano Ronaldo,10-Nov,Spain,LaLiga,Group Stage,03-01-2011,A,Real Madrid,Getafe CF,LOST,LW,11,1,Penalty,
Cristiano Ronaldo,10-Nov,Spain,LaLiga,Group Stage,03-01-2011,A,Real Madrid,Getafe CF,LOST,LW,57,1,Right-footed shot,Karim Benzema
Lionel Messi,10-Nov,Spain,LaLiga,Group Stage,08-01-2011,A,FC Barcelona,Deportivo de La Coruaa,LOST,CF,51,1,Direct free kick,
Cristiano Ronaldo,10-Nov,Spain,LaLiga,Group Stage,09-01-2011,H,Real Madrid,Villarreal CF,WON,LW,10,1,Right-footed shot,Mesut Ozil
Cristiano Ronaldo,10-Nov,Spain,LaLiga,Group Stage,09-01-2011,H,Real Madrid,Villarreal CF,WON,LW,45,1,Header,Xabi Alonso
Cristiano Ronaldo,10-Nov,Spain,LaLiga,Group Stage,09-01-2011,H,Real Madrid,Villarreal CF,WON,LW,79,1,Left-footed shot,Kaka
Lionel Messi,10-Nov,Spain,Copa del Rey,Quarter-Finals,12-01-2011,H,FC Barcelona,Real Betis Balompie,WON,CF,63,1,Left-footed shot,
Lionel Messi,10-Nov,Spain,Copa del Rey,Quarter-Finals,12-01-2011,H,FC Barcelona,Real Betis Balompie,WON,CF,44,1,Left-footed shot,Andres Iniesta
Lionel Messi,10-Nov,Spain,Copa del Rey,Quarter-Finals,12-01-2011,H,FC Barcelona,Real Betis Balompie,WON,CF,73,1,Left-footed shot,Xavi
